type,zodiac,category,title,content,field1,field2,field3,field4
REMEDY,GEMINI,Fasting,"Budhvar Vrat aur Hara Bhojan","Budhvar ka vrat rakhein aur sirf hara bhojan ya ek samay ka sattvik bhojan karein. Ganesh ji ki puja karein aur unhe durva aur modak arpit karein. Yeh vrat Budh ko bal deta hai aur aapke jeevan me gyaan aur samriddhi laata hai. Vrat ke din hare vastra pehen kar puja karein.","","","",""
REMEDY,GEMINI,Puja,"Ganesh Puja aur Vishnu Sahasranama","Budhvar ko Ganesh ji ki puja karein aur Vishnu Sahasranama ka path karein. Ganesh ji ko durva, modak aur hara phal arpit karein. Isse aapke sabhi vighn door hote hain aur Budh ki kripa milti hai. Puja ke baad Ganesh Chalisa ka path zaroor karein.","","","",""
REMEDY,CANCER,Mantra,"Chandra Beej Mantra Jaap","Om Shraam Shreem Shraum Sah Chandraya Namah ka 108 baar jaap karein, khas taur par Somvar ko. Yeh mantra Chandra ki kripa badhata hai aur mansik shanti deta hai. Subah snan ke baad safed vastra pehen kar jaap karein. Isse aapki bhavnatmak sthiti majboot hogi aur maa ka aashirwad milega.","","","",""
REMEDY,CANCER,Donation,"Chawal, Doodh aur Safed Vastra Daan","Somvar ko chawal, doodh, safed vastra aur chandi daan karein kisi zaruratmand ya mahila ko. Yeh daan Chandra ko shant karta hai aur aapke mann ko shanti deta hai. Daan karte waqt shraddha aur prem bhavna rakhein. Isse aapki mansik sthiti sudhregi aur ghar me sukh aayega.","","","",""
REMEDY,CANCER,Fasting,"Somvar Vrat aur Doodh ka Sevan","Somvar ka vrat rakhein aur sirf doodh, phal ya ek samay ka sattvik bhojan karein. Shiv ji ki puja karein aur unhe jal, doodh aur belpatra arpit karein. Yeh vrat Chandra ko bal deta hai aur aapke mann ko sthir karta hai. Vrat ke din safed vastra pehen kar puja karein.","","","",""
REMEDY,CANCER,Puja,"Shiv Puja aur Chandra Darshan","Somvar ko Shiv ji ki puja karein aur unhe jal, doodh, safed phool aur belpatra arpit karein. Raat ko Chandra ka darshan karein aur unhe doodh arpit karein. Isse aapke mann ko shanti milti hai aur maa ka aashirwad milta hai. Puja ke baad Shiv Chalisa ka path zaroor karein.","","","",""
REMEDY,LEO,Mantra,"Surya Beej Mantra Jaap","Om Hraam Hreem Hraum Sah Suryaya Namah ka 108 baar jaap karein, khas taur par Ravivar ko. Yeh mantra Surya ki kripa badhata hai aur aatmvishwas deta hai. Subah suryoday ke samay lal vastra pehen kar jaap karein. Isse aapki izzat badhegi aur netritva ki kshamta me vriddhi hogi.","","","",""
REMEDY,LEO,Donation,"Gehun, Gud aur Tamba Daan","Ravivar ko gehun, gud, tamba aur lal vastra daan karein kisi zaruratmand ko. Yeh daan Surya ko shant karta hai aur aapke bhagya ko bal deta hai. Daan karte waqt mann me shubh bhavna rakhein. Isse aapki sehat aur samman me vriddhi hogi.","","","",""
REMEDY,LEO,Fasting,"Ravivar Vrat aur Sattvik Bhojan","Ravivar ka vrat rakhein aur sirf ek samay ka sattvik bhojan karein. Surya ko jal arpan karein aur unki upasana karein. Yeh vrat Surya ko bal deta hai aur aapke aatmvishwas ko badhata hai. Vrat ke din lal vastra pehen kar puja karein.","","","",""
REMEDY,LEO,Puja,"Surya Arghya aur Aditya Hridaya Path","Roz subah suryoday ke samay Surya ko jal arpan karein aur Aditya Hridaya Stotra ka path karein. Surya ko lal phool aur gud arpit karein. Isse aapke sabhi rog door hote hain aur Surya ki kripa milti hai. Path ke baad Surya Namaskar zaroor karein.","","","",""
REMEDY,VIRGO,Mantra,"Budh Beej Mantra Jaap","Om Braam Breem Braum Sah Budhaya Namah ka 108 baar jaap karein, khas taur par Budhvar ko. Yeh mantra Budh ki kripa badhata hai aur buddhi ko tez karta hai. Subah snan ke baad hare vastra pehen kar jaap karein. Isse aapki vaani me madhurta aayegi aur vyavsay me safalta milegi.","","","",""
REMEDY,VIRGO,Donation,"Hara Moong aur Pustak Daan","Budhvar ko hara moong, hara vastra aur gyaan ki pustakein daan karein kisi zaruratmand ya vidyarthi ko. Yeh daan Budh ko shant karta hai aur aapke bhagya ko bal deta hai. Daan karte waqt mann me shubh bhavna rakhein. Isse aapki buddhi tez hogi aur karya me safalta milegi.","","","",""
REMEDY,VIRGO,Fasting,"Budhvar Vrat aur Hara Bhojan","Budhvar ka vrat rakhein aur sirf hara bhojan ya ek samay ka sattvik bhojan karein. Ganesh ji ki puja karein aur unhe durva aur modak arpit karein. Yeh vrat Budh ko bal deta hai aur aapke jeevan me gyaan aur samriddhi laata hai. Vrat ke din hare vastra pehen kar puja karein.","","","",""
REMEDY,VIRGO,Puja,"Ganesh Puja aur Vishnu Sahasranama","Budhvar ko Ganesh ji ki puja karein aur Vishnu Sahasranama ka path karein. Ganesh ji ko durva, modak aur hara phal arpit karein. Isse aapke sabhi vighn door hote hain aur Budh ki kripa milti hai. Puja ke baad Ganesh Chalisa ka path zaroor karein.","","","",""
REMEDY,LIBRA,Mantra,"Shukra Beej Mantra Jaap","Om Draam Dreem Draum Sah Shukraya Namah ka 108 baar jaap karein, khas taur par Shukravar ko. Yeh mantra Shukra ki kripa badhata hai aur jeevan me sukh-samriddhi laata hai. Subah snan ke baad safed vastra pehen kar jaap karein. Isse aapki aarthik sthiti majboot hogi aur vaivahik sukh milega.","","","",""
REMEDY,LIBRA,Donation,"Safed Vastu aur Chawal Daan","Shukravar ko safed chawal, doodh, dahi aur safed vastra daan karein kisi mahila ya zaruratmand ko. Yeh daan Shukra ko shant karta hai aur aapke dhan me vriddhi karta hai. Daan karte waqt shraddha aur prem bhavna rakhein. Isse aapke jeevan me sukh aur samriddhi aayegi.","","","",""
REMEDY,LIBRA,Fasting,"Shukravar Vrat aur Meetha Bhojan","Shukravar ka vrat rakhein aur sirf meetha ya safed bhojan jaise kheer, doodh aur phal ka sevan karein. Devi Lakshmi ki puja karein aur unhe kamal ka phool arpit karein. Yeh vrat Shukra ko bal deta hai aur aapke jeevan me prem aur sukh laata hai. Vrat ke din safed vastra pehen kar puja karein.","","","",""
REMEDY,LIBRA,Puja,"Lakshmi Puja aur Shree Yantra","Shukravar ko Lakshmi ji ki puja karein aur Shree Yantra ki sthapna ghar me karein. Kamal ke phool, safed mithai aur kharik arpit karein. Isse aapke ghar me dhan ki sthiti majboot hoti hai aur dukhon ka nash hota hai. Puja ke baad Shree Suktam ka path zaroor karein.","","","",""
REMEDY,SCORPIO,Mantra,"Mangal Beej Mantra Jaap","Om Kraam Kreem Kraum Sah Bhaumaya Namah ka 108 baar jaap karein, khas taur par Mangalvar ko. Yeh mantra Mangal ki shakti badhata hai aur jaldbazi kam karta hai. Subah snan ke baad lal vastra pehen kar jaap karein. Isse aapki urja sahi disha me lagegi aur jhagde kam honge.","","","",""
REMEDY,SCORPIO,Donation,"Lal Masoor aur Gud Daan","Mangalvar ko Lal Masoor ki dal, gud aur tamba daan karein kisi zaruratmand ko. Yeh daan Mangal ko shant karta hai aur aapke bhagya ko bal deta hai. Daan karte waqt mann me shubh bhavna rakhein. Isse aapki sehat aur veerata me vriddhi hogi.","","","",""
REMEDY,SCORPIO,Fasting,"Mangalvar Vrat aur Phalahar","Mangalvar ka vrat rakhein aur sirf phalahar ya ek samay ka sattvik bhojan karein. Hanuman ji ke mandir me jaakar lal sindoor aur chameli ka tel chadhayein. Yeh vrat Mangal ko shant karta hai aur aapke gusse par niyantran deta hai. Niyamit vrat se aapki energy sahi disha me lagegi.","","","",""
REMEDY,SCORPIO,Puja,"Hanuman Chalisa Path","Roz subah Hanuman Chalisa ka path karein, khas taur par Mangalvar aur Shanivar ko. Hanuman ji ki murti ke samne ghee ka diya jalayein aur boondi ka prasad chadhayein. Isse aapke sabhi sankat door hote hain aur Mangal ki kripa milti hai. Path ke baad Hanuman ji ko lal phool arpit karein.","","","",""
REMEDY,SAGITTARIUS,Mantra,"Guru Beej Mantra Jaap","Om Graam Greem Graum Sah Gurave Namah ka 108 baar jaap karein, khas taur par Guruvar ko. Yeh mantra Guru ki kripa badhata hai aur gyaan deta hai. Subah snan ke baad peela vastra pehen kar jaap karein. Isse aapki buddhi tez hogi aur bhagya me vriddhi hogi.","","","",""
REMEDY,SAGITTARIUS,Donation,"Chana Dal aur Haldi Daan","Guruvar ko chana dal, haldi, peela vastra aur ghee daan karein kisi zaruratmand ya brahman ko. Yeh daan Guru ko shant karta hai aur aapke bhagya ko bal deta hai. Daan karte waqt mann me shubh bhavna rakhein. Isse aapki aarthik sthiti majboot hogi aur gyaan me vriddhi hogi.","","","",""
REMEDY,SAGITTARIUS,Fasting,"Guruvar Vrat aur Peela Bhojan","Guruvar ka vrat rakhein aur sirf peela bhojan jaise chana dal, haldi aur gud ka sevan karein. Vishnu ji ki puja karein aur unhe peela phool arpit karein. Yeh vrat Guru ko bal deta hai aur aapke jeevan me gyaan aur samriddhi laata hai. Vrat ke din peela vastra pehen kar puja karein.","","","",""
REMEDY,SAGITTARIUS,Puja,"Vishnu Puja aur Guru Chalisa","Guruvar ko Vishnu ji ki puja karein aur Guru Chalisa ka path karein. Vishnu ji ko peela phool, chana dal aur gud arpit karein. Isse aapke sabhi paap door hote hain aur Guru ki kripa milti hai. Puja ke baad Vishnu Sahasranama ka path zaroor karein.","","","",""
REMEDY,CAPRICORN,Mantra,"Shani Beej Mantra Jaap","Om Praam Preem Praum Sah Shanaischaraya Namah ka 108 baar jaap karein, khas taur par Shanivar ko. Yeh mantra Shani ki kripa badhata hai aur dhairya deta hai. Subah snan ke baad kale vastra pehen kar jaap karein. Isse aapki mehnat ka fal milega aur jeevan me sthirta aayegi.","","","",""
REMEDY,CAPRICORN,Donation,"Kala Til aur Loh Daan","Shanivar ko kala til, loh, kala vastra aur sarson ka tel daan karein kisi zaruratmand ya shramik ko. Yeh daan Shani ko shant karta hai aur aapke karmon ko bal deta hai. Daan karte waqt mann me shubh bhavna rakhein. Isse aapki mehnat ka fal milega aur dukh kam honge.","","","",""
REMEDY,CAPRICORN,Fasting,"Shanivar Vrat aur Kala Bhojan","Shanivar ka vrat rakhein aur sirf kala bhojan jaise til, gud aur kali mirch ka sevan karein. Shani Dev ki puja karein aur unhe kala til aur tel arpit karein. Yeh vrat Shani ko bal deta hai aur aapke jeevan me sthirta laata hai. Vrat ke din kale vastra pehen kar puja karein.","","","",""
REMEDY,CAPRICORN,Puja,"Shani Puja aur Dasharatha Shani Stotra","Shanivar ko Shani Dev ki puja karein aur Dasharatha Shani Stotra ka path karein. Shani Dev ko kala til, loh aur kala phool arpit karein. Isse aapke sabhi karmon ka fal milta hai aur dukh door hote hain. Puja ke baad Hanuman Chalisa ka path zaroor karein.","","","",""
REMEDY,AQUARIUS,Mantra,"Shani Beej Mantra Jaap","Om Praam Preem Praum Sah Shanaischaraya Namah ka 108 baar jaap karein, khas taur par Shanivar ko. Yeh mantra Shani ki kripa badhata hai aur dhairya deta hai. Subah snan ke baad kale vastra pehen kar jaap karein. Isse aapki mehnat ka fal milega aur jeevan me sthirta aayegi.","","","",""
REMEDY,AQUARIUS,Donation,"Kala Til aur Loh Daan","Shanivar ko kala til, loh, kala vastra aur sarson ka tel daan karein kisi zaruratmand ya shramik ko. Yeh daan Shani ko shant karta hai aur aapke karmon ko bal deta hai. Daan karte waqt mann me shubh bhavna rakhein. Isse aapki mehnat ka fal milega aur dukh kam honge.","","","",""
REMEDY,AQUARIUS,Fasting,"Shanivar Vrat aur Kala Bhojan","Shanivar ka vrat rakhein aur sirf kala bhojan jaise til, gud aur kali mirch ka sevan karein. Shani Dev ki puja karein aur unhe kala til aur tel arpit karein. Yeh vrat Shani ko bal deta hai aur aapke jeevan me sthirta laata hai. Vrat ke din kale vastra pehen kar puja karein.","","","",""
REMEDY,AQUARIUS,Puja,"Shani Puja aur Dasharatha Shani Stotra","Shanivar ko Shani Dev ki puja karein aur Dasharatha Shani Stotra ka path karein. Shani Dev ko kala til, loh aur kala phool arpit karein. Isse aapke sabhi karmon ka fal milta hai aur dukh door hote hain. Puja ke baad Hanuman Chalisa ka path zaroor karein.","","","",""
REMEDY,PISCES,Mantra,"Guru Beej Mantra Jaap","Om Graam Greem Graum Sah Gurave Namah ka 108 baar jaap karein, khas taur par Guruvar ko. Yeh mantra Guru ki kripa badhata hai aur gyaan deta hai. Subah snan ke baad peela vastra pehen kar jaap karein. Isse aapki buddhi tez hogi aur bhagya me vriddhi hogi.","","","",""
REMEDY,PISCES,Donation,"Chana Dal aur Haldi Daan","Guruvar ko chana dal, haldi, peela vastra aur ghee daan karein kisi zaruratmand ya brahman ko. Yeh daan Guru ko shant karta hai aur aapke bhagya ko bal deta hai. Daan karte waqt mann me shubh bhavna rakhein. Isse aapki aarthik sthiti majboot hogi aur gyaan me vriddhi hogi.","","","",""
REMEDY,PISCES,Fasting,"Guruvar Vrat aur Peela Bhojan","Guruvar ka vrat rakhein aur sirf peela bhojan jaise chana dal, haldi aur gud ka sevan karein. Vishnu ji ki puja karein aur unhe peela phool arpit karein. Yeh vrat Guru ko bal deta hai aur aapke jeevan me gyaan aur samriddhi laata hai. Vrat ke din peela vastra pehen kar puja karein.","","","",""
REMEDY,PISCES,Puja,"Vishnu Puja aur Guru Chalisa","Guruvar ko Vishnu ji ki puja karein aur Guru Chalisa ka path karein. Vishnu ji ko peela phool, chana dal aur gud arpit karein. Isse aapke sabhi paap door hote hain aur Guru ki kripa milti hai. Puja ke baad Vishnu Sahasranama ka path zaroor karein.","","","",""
