type,zodiac,category,title,content,field1,field2,field3,field4
DOSHA,CANCER,DOSHA,Sade Sati,"Aapki kundali me Sade Sati ka prabhav chal raha hai kyunki Shani aapki rashi par ya uske paas baitha hai. Isse mansik ashanti, aarthik tanav aur karya me rukavat aa sakti hai. Parivar me kisi ki sehat ka dhyan rakhna padega. Lekin yeh samay aapko dhairya aur anushasan sikhata hai.","HIGH","true","Shanivar ko Shani Dev ki puja karein aur kala til ka daan karein. Hanuman Chalisa roz subah padhein.",""
DOSHA,CANCER,DOSHA,Grahana Dosha,"Aapki kundali me Grahana Dosha maujud hai kyunki Chandra par Rahu ya Ketu ka prabhav hai. Isse mann me ashanti, neend ki samasya aur bhavnatmak uthal-puthal ho sakti hai. Maa ki sehat ka bhi dhyan rakhna padega. Dhyan aur pranayam se yeh dosha kam hota hai.","HIGH","true","Somvar ko Shiv ji ko jal arpan karein aur Chandra ko doodh arpit karein. Meditation roz karein.",""
DOSHA,LEO,DOSHA,Mangal Dosha,"Aapki kundali me Mangal Dosha halka hai kyunki Mangal ki sthiti madhyam hai. Isse vivah me chhoti rukavat aa sakti hai ya jeevansathi se matbhed ho sakta hai. Lekin gambhir asar nahi hoga agar aap dhairya rakhein. Kundali milan se yeh dosha aur bhi kam ho jata hai.","MEDIUM","true","Mangalvar ko Hanuman Chalisa padhein aur Lal Masoor ka daan karein. Vivah se pehle Kundali milan karayein.",""
DOSHA,LEO,DOSHA,Kaal Sarp Dosha,"Aapki kundali me Kaal Sarp Dosha nahi hai kyunki sabhi grah Rahu-Ketu ke beech nahi hain. Iska matlab hai ki aapke jeevan me bade sangharsh nahi aayenge. Aapki mehnat ka fal samay par milega aur bhagya saath dega. Sitaron ki kripa aap par bani rahegi.","LOW","false","Shiv ji ki puja Somvar ko karein aur Om Namah Shivaya ka jaap karein. Yeh aapki raksha karega.",""
DOSHA,LEO,DOSHA,Pitru Dosha,"Aapki kundali me Pitru Dosha maujud hai kyunki Surya par Shani ya Rahu ka prabhav hai. Isse pita ki sehat, santan aur bhagya me rukavat aa sakti hai. Parivar me kisi purvaj ki atma ko shanti nahi mili ho sakti. Tarpan aur shraddh se yeh dosha shant hota hai.","HIGH","true","Amavasya ko pitru tarpan karein aur brahman ko bhojan karayein. Gaya ya Haridwar me shraddh karana bhi faydemand hai.",""
DOSHA,VIRGO,DOSHA,Mangal Dosha,"Aapki kundali me Mangal Dosha nahi hai kyunki Mangal ki sthiti shubh hai. Aapka vivah sukh se hoga aur jeevansathi ke saath prem bana rahega. Chhoti-moti takraar sabhi rishton me hoti hai, lekin yeh gambhir nahi hai. Aap apne partner ko samman dein to rishta mazboot rahega.","LOW","false","Mangalvar ko Hanuman ji ke darshan karein aur lal phool chadhayein. Yeh aapke vivah me sukh laayega.",""
DOSHA,VIRGO,DOSHA,Sade Sati,"Aapki kundali me Sade Sati halka chal raha hai kyunki Shani aapki rashi se door hai. Isse thodi mansik ashanti aur karya me rukavat aa sakti hai. Lekin gambhir asar nahi hoga agar aap dhairya rakhein. Yeh samay aapko anushasan aur mehnat sikhata hai.","MEDIUM","true","Shanivar ko Shani Dev ki puja karein aur kala til ka daan karein. Hanuman Chalisa roz subah padhein.",""
DOSHA,VIRGO,DOSHA,Grahana Dosha,"Aapki kundali me Grahana Dosha nahi hai kyunki Chandra aur Surya par Rahu-Ketu ka prabhav nahi hai. Aapka mann sthir rahega aur nirnay lene me samarth rahenge. Mansik sthiti santulit rahegi aur neend acchi aayegi. Sitaron ki kripa aap par bani rahegi.","LOW","false","Somvar ko Shiv ji ko jal arpan karein aur Chandra ko doodh arpit karein. Meditation roz karein.",""
DOSHA,LIBRA,DOSHA,Mangal Dosha,"Aapki kundali me Mangal Dosha maujud hai kyunki Mangal saptam ya chaturth bhav me baitha hai. Isse vivah me thodi deri aur jeevansathi se matbhed ho sakta hai. Ghar me ashanti aur maa ki sehat se judi samasya bhi ho sakti hai. Thoda shaant rahne se yeh dosha kam hota hai.","HIGH","true","Mangalvar ko Hanuman Chalisa padhein aur Lal Masoor ka daan karein. Vivah se pehle Kundali milan zaroor karayein.",""
DOSHA,LIBRA,DOSHA,Kaal Sarp Dosha,"Aapki kundali me Kaal Sarp Dosha nahi hai kyunki sabhi grah Rahu-Ketu ke beech nahi hain. Iska matlab hai ki aapke jeevan me bade sangharsh nahi aayenge. Aapki mehnat ka fal samay par milega aur bhagya saath dega. Sitaron ki kripa aap par bani rahegi.","LOW","false","Shiv ji ki puja Somvar ko karein aur Om Namah Shivaya ka jaap karein. Yeh aapki raksha karega.",""
DOSHA,LIBRA,DOSHA,Pitru Dosha,"Aapki kundali me Pitru Dosha halka dikh raha hai kyunki Navam bhav me Shani ka prabhav hai. Isse santan aur bhagya me thodi rukavat aa sakti hai. Purvajon ka aashirwad lene se yeh dosha shant hota hai. Amavasya ko tarpan karna aapke liye faydemand rahega.","MEDIUM","true","Amavasya ko pitru tarpan karein aur brahman ko bhojan karayein. Gaya ya Haridwar me shraddh karana bhi faydemand hai.",""
DOSHA,SCORPIO,DOSHA,Mangal Dosha,"Aapki kundali me Mangal Dosha maujud hai kyunki Mangal aapki rashi ka swami hai aur ashtam bhav me baitha hai. Isse vivah me thodi deri aur jeevansathi se matbhed ho sakta hai. Gussa aur jaldbazi se rishte me tanav aa sakta hai. Thoda dhairya rakhne se yeh dosha apna asar kam kar deta hai.","HIGH","true","Mangalvar ko Hanuman Chalisa padhein aur Lal Masoor ka daan karein. Ghar me Hanuman ji ki murti rakhein.",""
DOSHA,SCORPIO,DOSHA,Sade Sati,"Aapki kundali me Sade Sati ka prabhav chal raha hai kyunki Shani aapki rashi se dvitiya ya dwadash bhav me hai. Isse mansik ashanti, aarthik tanav aur karya me rukavat aa sakti hai. Parivar me kisi ki sehat ka dhyan rakhna padega. Lekin yeh samay aapko dhairya aur anushasan sikhata hai.","HIGH","true","Shanivar ko Shani Dev ki puja karein aur kala til ka daan karein. Hanuman Chalisa roz subah padhein.",""
DOSHA,SCORPIO,DOSHA,Grahana Dosha,"Aapki kundali me Grahana Dosha halka hai kyunki Chandra par Rahu ya Ketu ka prabhav hai. Isse mann me kabhi-kabhi ashanti aur neend ki samasya ho sakti hai. Mansik sthiti ko santulit rakhna zaroori hai. Dhyan aur pranayam se yeh dosha kam hota hai.","MEDIUM","true","Somvar ko Shiv ji ko jal arpan karein aur Chandra ko doodh arpit karein. Meditation roz karein.",""
DOSHA,SAGITTARIUS,DOSHA,Mangal Dosha,"Aapki kundali me Mangal Dosha nahi hai kyunki Mangal ki sthiti shubh hai. Aapka vivah sukh se hoga aur jeevansathi ke saath prem bana rahega. Chhoti-moti takraar sabhi rishton me hoti hai, lekin yeh gambhir nahi hai. Aap apne partner ko samman dein to rishta mazboot rahega.","LOW","false","Mangalvar ko Hanuman ji ke darshan karein aur lal phool chadhayein. Yeh aapke vivah me sukh laayega.",""
DOSHA,SAGITTARIUS,DOSHA,Kaal Sarp Dosha,"Aapki kundali me Kaal Sarp Dosha nahi hai kyunki sabhi grah Rahu-Ketu ke beech nahi hain. Iska matlab hai ki aapke jeevan me bade sangharsh nahi aayenge. Aapki mehnat ka fal samay par milega aur bhagya saath dega. Sitaron ki kripa aap par bani rahegi.","LOW","false","Shiv ji ki puja Somvar ko karein aur Om Namah Shivaya ka jaap karein. Yeh aapki raksha karega.",""
DOSHA,SAGITTARIUS,DOSHA,Pitru Dosha,"Aapki kundali me Pitru Dosha maujud hai kyunki Guru aur Surya par Shani ka prabhav hai. Isse pita ki sehat, santan aur bhagya me rukavat aa sakti hai. Parivar me kisi purvaj ki atma ko shanti nahi mili ho sakti. Tarpan aur shraddh se yeh dosha shant hota hai.","HIGH","true","Amavasya ko pitru tarpan karein aur brahman ko bhojan karayein. Gaya ya Haridwar me shraddh karana bhi faydemand hai.",""
DOSHA,CAPRICORN,DOSHA,Mangal Dosha,"Aapki kundali me Mangal Dosha halka hai kyunki Mangal ki sthiti madhyam hai. Isse vivah me chhoti rukavat aa sakti hai ya jeevansathi se matbhed ho sakta hai. Lekin gambhir asar nahi hoga agar aap dhairya rakhein. Kundali milan se yeh dosha aur bhi kam ho jata hai.","MEDIUM","true","Mangalvar ko Hanuman Chalisa padhein aur Lal Masoor ka daan karein. Vivah se pehle Kundali milan karayein.",""
DOSHA,CAPRICORN,DOSHA,Sade Sati,"Aapki kundali me Sade Sati ka prabhav chal raha hai kyunki Shani aapki rashi ka swami hai. Isse mansik ashanti, aarthik tanav aur karya me rukavat aa sakti hai. Parivar me kisi ki sehat ka dhyan rakhna padega. Lekin yeh samay aapko dhairya aur anushasan sikhata hai.","HIGH","true","Shanivar ko Shani Dev ki puja karein aur kala til ka daan karein. Hanuman Chalisa roz subah padhein.",""
DOSHA,CAPRICORN,DOSHA,Grahana Dosha,"Aapki kundali me Grahana Dosha nahi hai kyunki Chandra aur Surya par Rahu-Ketu ka prabhav nahi hai. Aapka mann sthir rahega aur nirnay lene me samarth rahenge. Mansik sthiti santulit rahegi aur neend acchi aayegi. Sitaron ki kripa aap par bani rahegi.","LOW","false","Somvar ko Shiv ji ko jal arpan karein aur Chandra ko doodh arpit karein. Meditation roz karein.",""
DOSHA,AQUARIUS,DOSHA,Mangal Dosha,"Aapki kundali me Mangal Dosha nahi hai kyunki Mangal ki sthiti shubh hai. Aapka vivah sukh se hoga aur jeevansathi ke saath prem bana rahega. Chhoti-moti takraar sabhi rishton me hoti hai, lekin yeh gambhir nahi hai. Aap apne partner ko samman dein to rishta mazboot rahega.","LOW","false","Mangalvar ko Hanuman ji ke darshan karein aur lal phool chadhayein. Yeh aapke vivah me sukh laayega.",""
DOSHA,AQUARIUS,DOSHA,Sade Sati,"Aapki kundali me Sade Sati halka chal raha hai kyunki Shani aapki rashi ka swami hai. Isse thodi mansik ashanti aur karya me rukavat aa sakti hai. Lekin gambhir asar nahi hoga agar aap dhairya rakhein. Yeh samay aapko anushasan aur mehnat sikhata hai.","MEDIUM","true","Shanivar ko Shani Dev ki puja karein aur kala til ka daan karein. Hanuman Chalisa roz subah padhein.",""
DOSHA,AQUARIUS,DOSHA,Kaal Sarp Dosha,"Aapki kundali me Kaal Sarp Dosha nahi hai kyunki sabhi grah Rahu-Ketu ke beech nahi hain. Iska matlab hai ki aapke jeevan me bade sangharsh nahi aayenge. Aapki mehnat ka fal samay par milega aur bhagya saath dega. Sitaron ki kripa aap par bani rahegi.","LOW","false","Shiv ji ki puja Somvar ko karein aur Om Namah Shivaya ka jaap karein. Yeh aapki raksha karega.",""
DOSHA,PISCES,DOSHA,Mangal Dosha,"Aapki kundali me Mangal Dosha halka hai kyunki Mangal ki sthiti madhyam hai. Isse vivah me chhoti rukavat aa sakti hai ya jeevansathi se matbhed ho sakta hai. Lekin gambhir asar nahi hoga agar aap dhairya rakhein. Kundali milan se yeh dosha aur bhi kam ho jata hai.","MEDIUM","true","Mangalvar ko Hanuman Chalisa padhein aur Lal Masoor ka daan karein. Vivah se pehle Kundali milan karayein.",""
DOSHA,PISCES,DOSHA,Kaal Sarp Dosha,"Aapki kundali me Kaal Sarp Dosha nahi hai kyunki sabhi grah Rahu-Ketu ke beech nahi hain. Iska matlab hai ki aapke jeevan me bade sangharsh nahi aayenge. Aapki mehnat ka fal samay par milega aur bhagya saath dega. Sitaron ki kripa aap par bani rahegi.","LOW","false","Shiv ji ki puja Somvar ko karein aur Om Namah Shivaya ka jaap karein. Yeh aapki raksha karega.",""
DOSHA,PISCES,DOSHA,Pitru Dosha,"Aapki kundali me Pitru Dosha maujud hai kyunki Guru aur Chandra par Shani ya Rahu ka prabhav hai. Isse pita ki sehat, santan aur bhagya me rukavat aa sakti hai. Parivar me kisi purvaj ki atma ko shanti nahi mili ho sakti. Tarpan aur shraddh se yeh dosha shant hota hai.","HIGH","true","Amavasya ko pitru tarpan karein aur brahman ko bhojan karayein. Gaya ya Haridwar me shraddh karana bhi faydemand hai.",""
