zodiac,sanskrit_name,symbol,symbol_emoji,ruling_planet,tarot_card,lucky_stone,date_range,period,main_text,lucky_number,lucky_color,auspicious_time,mood,love_score,love_text,finance_score,finance_text,career_score,career_text,health_score,health_text
TAURUS,Vrishabh,Bull,♉,Venus,The Hierophant,Diamond (Heera),Apr 20 – May 20,MONTHLY,"Vrishabh ji, is mahine Guru aur Shukra ka prabhav aapke bhagya par rahega. Pehla hafta labhdayak. Pyaar mein gehraai. Dhan aayega par kharch bhi. Santulit rahein.",24,White,07:15 AM – 08:45 AM,😌 Peaceful,85,"Mahine ke madhya mein rishton mein mithaas. Vivah ke yog.",81,"Vyapar mein vriddhi, par udhar se bachein.",84,"Promotion ke yog. Karyakshetra mein samman.",82,"Sehat samanya. Mausam se bachein."
TAURUS,Vrishabh,Bull,♉,Venus,The Hierophant,Diamond (Heera),Apr 20 – May 20,YEARLY,"Vrishabh ji, is varsh Guru aapke bhav mein gochar karke bada labh dega. Shani ki drishti se karmakshetra mein mehnat. Pyaar aur vivah ke yog. Swasthya ke liye niyamit dincharya. Dhan sanchay hoga.",12,Golden,08:00 AM – 09:30 AM,🤔 Thoughtful,86,"Varsh ke madhya mein vivah ke yog. Prem mein safalta.",83,"Saal ke ant mein bada arthik labh. Property ka yog.",87,"Naukri mein unnati, par transfer ho sakta hai.",84,"Swasthya ke liye saavdhani. Regular checkup."
GEMINI,Mithun,Twins,♊,Mercury,The Lovers,Emerald (Panna),May 21 – Jun 20,TODAY,"Mithun ji, aaj Budh aapki rashi mein buddhi tez kar raha hai. Chandra se mann chanchal ho sakta hai, dhyan rakhein. Pyaar mein samvad shubh. Kaam mein safalta milegi.",5,Green,06:45 AM – 08:15 AM,🤔 Thoughtful,78,"Budh ki kripa se baat-cheet mein mithaas. Partner ko samjhein.",75,"Dhan aayega, par kharch niyantran mein rakhein.",82,"Career mein naya avsar. Networking labhdayak.",77,"Sehat achi, par mansik thakan se bachein."
GEMINI,Mithun,Twins,♊,Mercury,The Lovers,Emerald (Panna),May 21 – Jun 20,YESTERDAY,"Mithun ji, kal Budh ki chal se aapke vichar tez rahe. Chandra ne mann ko thoda ashant kiya. Kaam mein rukavat aayi, par samay se pura hua. Aaj se seekh lein.",17,Purple,08:45 AM – 10:15 AM,😌 Peaceful,70,"Partner se thodi doori. Baat karke suljhayein, ji.",67,"Kharcha zyada hua, par niyantran mein raha.",73,"Office mein thoda tanav tha, par kaam pura hua.",69,"Mansik thakan rahi. Aaram karein."
GEMINI,Mithun,Twins,♊,Mercury,The Lovers,Emerald (Panna),May 21 – Jun 20,TOMORROW,"Mithun ji, kal Guru aapke bhav mein prakash layega. Atmavishwas badhega aur naye kaam shuru honge. Pyaar mein mithaas aayegi. Paise ke maamle mein labh hoga, beta.",29,Blue,07:30 AM – 09:00 AM,😁 Happy,80,"Venus pyaar mein mithaas layega. Kisi purane mitra se mulakat.",79,"Dhan labh ke yog. Vyapar mein fayda.",84,"Naukri mein tareef. Mehnat rang layegi.",78,"Sehat mein sudhar. Halka khana khayein."
GEMINI,Mithun,Twins,♊,Mercury,The Lovers,Emerald (Panna),May 21 – Jun 20,WEEKLY,"Mithun ji, is hafte Budh aur Chandra ka yog aapko urja dega. Shuru ke din thoda sangharsh, par baad mein safalta. Pyaar mein samvad banaye rakhein. Paise ki sthiti majboot.",31,Yellow,06:15 AM – 07:45 AM,💪 Energetic,76,"Is hafte partner ke saath naya plan. Rishta gehna hoga.",77,"Saptah ke madhya mein arthik labh. Nivesh soch samajh.",81,"Career mein naya project. Tim par pura karein.",75,"Sehat ke liye yoga aur dhyan labhdayak."
GEMINI,Mithun,Twins,♊,Mercury,The Lovers,Emerald (Panna),May 21 – Jun 20,MONTHLY,"Mithun ji, is mahine Guru aur Shani ka prabhav aapke bhagya par. Pehla hafta vyast, doosra labhdayak. Pyaar mein gehraai. Dhan aayega par kharch bhi. Santulit rahein.",23,Green,07:00 AM – 08:30 AM,😊 Content,79,"Mahine ke madhya mein rishton mein mithaas. Partner ka saath.",76,"Vyapar mein vriddhi, par udhar se bachein.",83,"Promotion ke yog. Karyakshetra mein samman.",77,"Sehat samanya. Mausam se bachein."
GEMINI,Mithun,Twins,♊,Mercury,The Lovers,Emerald (Panna),May 21 – Jun 20,YEARLY,"Mithun ji, is varsh Guru aapke bhav mein gochar karke bada labh dega. Shani ki drishti se mehnat zyada. Pyaar aur vivah ke yog. Swasthya ke liye niyamit dincharya. Dhan sanchay.",13,Golden,06:30 AM – 08:00 AM,🤔 Thoughtful,82,"Varsh ke madhya mein vivah ke yog. Prem mein safalta.",80,"Saal ke ant mein bada arthik labh. Property ka yog.",85,"Naukri mein unnati, par transfer ho sakta hai.",80,"Swasthya ke liye saavdhani. Regular checkup."
CANCER,Kark,Crab,♋,Moon,The Chariot,Pearl (Moti),Jun 21 – Jul 22,TODAY,"Kark ji, aaj Chandra aapki rashi mein balwan hai. Mann shant rahega aur ghar mein sukh. Pyaar mein din shubh. Kaam mein dhairya rakhein, jaldbazi nahi.",2,White,06:00 AM – 07:30 AM,😌 Peaceful,86,"Chandra ka ashirwad, partner ke saath mitha samay. Rishta majboot.",78,"Dhan aayega, par fizul kharch se bachein.",81,"Office mein chain. Kaam samay par pura hoga.",85,"Sehat achi, par thanda khana se bachein."
CANCER,Kark,Crab,♋,Moon,The Chariot,Pearl (Moti),Jun 21 – Jul 22,YESTERDAY,"Kark ji, kal Chandra ne aapko bhavnaon mein gehrai di. Parivar mein sukh raha. Kaam mein thoda vilaamb hua, par kaam bigda nahi. Aaj se sabak lein.",8,Pink,09:00 AM – 10:30 AM,🙂 Calm,74,"Partner se thodi narazgi. Mana kar suljhayein, ji.",70,"Kharcha zyada hua, par niyantran mein raha.",75,"Kaam mein rukavat aayi, par samay se pura hua.",72,"Pet ki gadbad ho sakti hai. Halka khana."
CANCER,Kark,Crab,♋,Moon,The Chariot,Pearl (Moti),Jun 21 – Jul 22,TOMORROW,"Kark ji, kal Guru aapke dhan bhav par rahega. Naya avsar milega, par sabra rakhein. Pyaar mein gehraai aayegi. Parivar ka saath milega, beta.",16,Green,07:15 AM – 08:45 AM,😊 Content,82,"Venus aur Jupiter ka yog, rishton mein mithaas. Kisi khaas se mulakat.",80,"Dhan labh ke yog, nivesh se fayda.",78,"Career mein naya avsar. Seniors khush honge.",80,"Sehat mein sudhar. Subah ki dhoop lein."
CANCER,Kark,Crab,♋,Moon,The Chariot,Pearl (Moti),Jun 21 – Jul 22,WEEKLY,"Kark ji, is hafte Chandra aur Mangal ka yog sukh aur samriddhi layega. Pyaar mein madhurta rahegi. Kaam mein mehnat rang layegi. Dhan ki sthiti majboot.",20,Yellow,08:15 AM – 09:45 AM,😁 Happy,84,"Partner ke saath naya plan. Rishta aur gehna hoga.",81,"Saptah ke madhya mein arthik labh. Bachat karein.",82,"Career mein tareef. Naya kaam milega.",80,"Sehat achi, par aaram zaroori."
CANCER,Kark,Crab,♋,Moon,The Chariot,Pearl (Moti),Jun 21 – Jul 22,MONTHLY,"Kark ji, is mahine Guru aur Shukra ka prabhav aapke bhagya par. Pehla hafta labhdayak. Pyaar mein gehraai. Dhan aayega par kharch bhi. Santulit rahein.",26,White,07:30 AM – 09:00 AM,😌 Peaceful,87,"Mahine ke madhya mein rishton mein mithaas. Vivah ke yog.",82,"Vyapar mein vriddhi, par udhar se bachein.",85,"Promotion ke yog. Karyakshetra mein samman.",83,"Sehat samanya. Mausam se bachein."
CANCER,Kark,Crab,♋,Moon,The Chariot,Pearl (Moti),Jun 21 – Jul 22,YEARLY,"Kark ji, is varsh Guru aapke bhav mein gochar karke bada labh dega. Shani ki drishti se mehnat. Pyaar aur vivah ke yog. Swasthya ke liye niyamit dincharya. Dhan sanchay.",4,Golden,06:45 AM – 08:15 AM,🤔 Thoughtful,88,"Varsh ke madhya mein vivah ke yog. Prem mein safalta.",84,"Saal ke ant mein bada arthik labh. Property ka yog.",86,"Naukri mein unnati, par transfer ho sakta hai.",85,"Swasthya ke liye saavdhani. Regular checkup."
LEO,Simha,Lion,♌,Sun,Strength,Ruby (Manik),Jul 23 – Aug 22,TODAY,"Simha ji, aaj Surya aapki rashi mein tejasvi hai. Atmavishwas badhega aur samman milega. Pyaar mein din shubh. Kaam mein safalta milegi, jaldbazi nahi.",1,Golden,06:30 AM – 08:00 AM,😁 Happy,84,"Surya ka ashirwad, partner ke saath mitha samay. Rishta majboot.",79,"Dhan aayega, par fizul kharch se bachein.",86,"Office mein tareef. Kaam samay par pura hoga.",82,"Sehat achi, par garmi se bachein."
LEO,Simha,Lion,♌,Sun,Strength,Ruby (Manik),Jul 23 – Aug 22,YESTERDAY,"Simha ji, kal Surya ne aapko urja di. Parivar mein sukh raha. Kaam mein thoda vilaamb hua, par kaam bigda nahi. Aaj se sabak lein.",19,Orange,08:30 AM – 10:00 AM,🙂 Calm,72,"Partner se thodi narazgi. Mana kar suljhayein, ji.",68,"Kharcha zyada hua, par niyantran mein raha.",76,"Kaam mein rukavat aayi, par samay se pura hua.",71,"Thakan rahi. Aaram karein."
LEO,Simha,Lion,♌,Sun,Strength,Ruby (Manik),Jul 23 – Aug 22,TOMORROW,"Simha ji, kal Guru aapke bhav mein prakash layega. Atmavishwas badhega aur naye kaam shuru honge. Pyaar mein mithaas aayegi. Paise ke maamle mein labh, beta.",27,Red,07:00 AM – 08:30 AM,😊 Content,82,"Venus pyaar mein mithaas layega. Kisi purane mitra se mulakat.",81,"Dhan labh ke yog. Vyapar mein fayda.",85,"Naukri mein tareef. Mehnat rang layegi.",80,"Sehat mein sudhar. Halka khana khayein."
LEO,Simha,Lion,♌,Sun,Strength,Ruby (Manik),Jul 23 – Aug 22,WEEKLY,"Simha ji, is hafte Surya aur Chandra ka yog aapko urja dega. Shuru ke din thoda sangharsh, par baad mein safalta. Pyaar mein samvad banaye rakhein. Paise ki sthiti majboot.",33,Golden,06:00 AM – 07:30 AM,💪 Energetic,78,"Is hafte partner ke saath naya plan. Rishta gehna hoga.",79,"Saptah ke madhya mein arthik labh. Nivesh soch samajh.",84,"Career mein naya project. Tim par pura karein.",77,"Sehat ke liye yoga aur dhyan labhdayak."
LEO,Simha,Lion,♌,Sun,Strength,Ruby (Manik),Jul 23 – Aug 22,MONTHLY,"Simha ji, is mahine Guru aur Shani ka prabhav aapke bhagya par. Pehla hafta vyast, doosra labhdayak. Pyaar mein gehraai. Dhan aayega par kharch bhi. Santulit rahein.",21,Maroon,07:15 AM – 08:45 AM,😊 Content,82,"Mahine ke madhya mein rishton mein mithaas. Partner ka saath.",78,"Vyapar mein vriddhi, par udhar se bachein.",85,"Promotion ke yog. Karyakshetra mein samman.",79,"Sehat samanya. Mausam se bachein."
LEO,Simha,Lion,♌,Sun,Strength,Ruby (Manik),Jul 23 – Aug 22,YEARLY,"Simha ji, is varsh Guru aapke bhav mein gochar karke bada labh dega. Shani ki drishti se mehnat. Pyaar aur vivah ke yog. Swasthya ke liye niyamit dincharya. Dhan sanchay.",10,Golden,06:15 AM – 07:45 AM,🤔 Thoughtful,85,"Varsh ke madhya mein vivah ke yog. Prem mein safalta.",82,"Saal ke ant mein bada arthik labh. Property ka yog.",87,"Naukri mein unnati, par transfer ho sakta hai.",83,"Swasthya ke liye saavdhani. Regular checkup."
VIRGO,Kanya,Maiden,♍,Mercury,The Hermit,Emerald (Panna),Aug 23 – Sep 22,TODAY,"Kanya ji, aaj Budh aapki rashi mein buddhi tez kar raha hai. Chandra se mann shant rahega. Pyaar mein samvad shubh. Kaam mein safalta milegi, jaldbazi nahi.",6,Green,06:45 AM – 08:15 AM,🤔 Thoughtful,80,"Budh ki kripa se baat-cheet mein mithaas. Partner ko samjhein.",78,"Dhan aayega, par kharch niyantran mein rakhein.",84,"Career mein naya avsar. Networking labhdayak.",79,"Sehat achi, par mansik thakan se bachein."
VIRGO,Kanya,Maiden,♍,Mercury,The Hermit,Emerald (Panna),Aug 23 – Sep 22,YESTERDAY,"Kanya ji, kal Budh ki chal se aapke vichar tez rahe. Chandra ne mann ko thoda ashant kiya. Kaam mein rukavat aayi, par samay se pura hua. Aaj se seekh lein.",15,Purple,08:45 AM – 10:15 AM,😌 Peaceful,72,"Partner se thodi doori. Baat karke suljhayein, ji.",69,"Kharcha zyada hua, par niyantran mein raha.",75,"Office mein thoda tanav tha, par kaam pura hua.",71,"Mansik thakan rahi. Aaram karein."
VIRGO,Kanya,Maiden,♍,Mercury,The Hermit,Emerald (Panna),Aug 23 – Sep 22,TOMORROW,"Kanya ji, kal Guru aapke bhav mein prakash layega. Atmavishwas badhega aur naye kaam shuru honge. Pyaar mein mithaas aayegi. Paise ke maamle mein labh, beta.",25,Blue,07:30 AM – 09:00 AM,😁 Happy,82,"Venus pyaar mein mithaas layega. Kisi purane mitra se mulakat.",80,"Dhan labh ke yog. Vyapar mein fayda.",85,"Naukri mein tareef. Mehnat rang layegi.",80,"Sehat mein sudhar. Halka khana khayein."
VIRGO,Kanya,Maiden,♍,Mercury,The Hermit,Emerald (Panna),Aug 23 – Sep 22,WEEKLY,"Kanya ji, is hafte Budh aur Chandra ka yog aapko urja dega. Shuru ke din thoda sangharsh, par baad mein safalta. Pyaar mein samvad banaye rakhein. Paise ki sthiti majboot.",35,Yellow,06:15 AM – 07:45 AM,💪 Energetic,78,"Is hafte partner ke saath naya plan. Rishta gehna hoga.",79,"Saptah ke madhya mein arthik labh. Nivesh soch samajh.",83,"Career mein naya project. Tim par pura karein.",77,"Sehat ke liye yoga aur dhyan labhdayak."
VIRGO,Kanya,Maiden,♍,Mercury,The Hermit,Emerald (Panna),Aug 23 – Sep 22,MONTHLY,"Kanya ji, is mahine Guru aur Shani ka prabhav aapke bhagya par. Pehla hafta vyast, doosra labhdayak. Pyaar mein gehraai. Dhan aayega par kharch bhi. Santulit rahein.",28,Green,07:00 AM – 08:30 AM,😊 Content,81,"Mahine ke madhya mein rishton mein mithaas. Partner ka saath.",77,"Vyapar mein vriddhi, par udhar se bachein.",84,"Promotion ke yog. Karyakshetra mein samman.",78,"Sehat samanya. Mausam se bachein."
VIRGO,Kanya,Maiden,♍,Mercury,The Hermit,Emerald (Panna),Aug 23 – Sep 22,YEARLY,"Kanya ji, is varsh Guru aapke bhav mein gochar karke bada labh dega. Shani ki drishti se mehnat. Pyaar aur vivah ke yog. Swasthya ke liye niyamit dincharya. Dhan sanchay.",14,Golden,06:30 AM – 08:00 AM,🤔 Thoughtful,84,"Varsh ke madhya mein vivah ke yog. Prem mein safalta.",81,"Saal ke ant mein bada arthik labh. Property ka yog.",86,"Naukri mein unnati, par transfer ho sakta hai.",82,"Swasthya ke liye saavdhani. Regular checkup."
LIBRA,Tula,Scales,♎,Venus,Justice,Diamond (Heera),Sep 23 – Oct 22,TODAY,"Tula ji, aaj Shukra aapki rashi mein madhurta la raha hai. Chandra se mann shant rahega. Pyaar mein din shubh. Kaam mein dhairya rakhein, jaldbazi nahi.",7,White,07:00 AM – 08:30 AM,😌 Peaceful,88,"Shukra ka ashirwad, partner ke saath mitha samay. Rishta majboot.",80,"Dhan aayega, par fizul kharch se bachein.",82,"Office mein chain. Kaam samay par pura hoga.",84,"Sehat achi, par thanda khana se bachein."
LIBRA,Tula,Scales,♎,Venus,Justice,Diamond (Heera),Sep 23 – Oct 22,YESTERDAY,"Tula ji, kal Chandra ne aapko bhavnaon mein gehrai di. Shukra ki kripa se parivar mein sukh raha. Kaam mein thoda vilaamb hua, par kaam bigda nahi. Aaj se sabak lein.",13,Pink,09:00 AM – 10:30 AM,🙂 Calm,74,"Partner se thodi narazgi. Mana kar suljhayein, ji.",70,"Kharcha zyada hua, par niyantran mein raha.",76,"Kaam mein rukavat aayi, par samay se pura hua.",72,"Pet ki gadbad ho sakti hai. Halka khana."
LIBRA,Tula,Scales,♎,Venus,Justice,Diamond (Heera),Sep 23 – Oct 22,TOMORROW,"Tula ji, kal Guru aapke dhan bhav par rahega. Naya avsar milega, par sabra rakhein. Pyaar mein gehraai aayegi. Parivar ka saath milega, beta.",17,Green,07:15 AM – 08:45 AM,😊 Content,84,"Venus aur Jupiter ka yog, rishton mein mithaas. Kisi khaas se mulakat.",82,"Dhan labh ke yog, nivesh se fayda.",80,"Career mein naya avsar. Seniors khush honge.",81,"Sehat mein sudhar. Subah ki dhoop lein."
LIBRA,Tula,Scales,♎,Venus,Justice,Diamond (Heera),Sep 23 – Oct 22,WEEKLY,"Tula ji, is hafte Shukra aur Chandra ka yog sukh aur samriddhi layega. Pyaar mein madhurta rahegi. Kaam mein mehnat rang layegi. Dhan ki sthiti majboot.",37,Yellow,08:30 AM – 10:00 AM,😁 Happy,86,"Partner ke saath naya plan. Rishta aur gehna hoga.",82,"Saptah ke madhya mein arthik labh. Bachat karein.",83,"Career mein tareef. Naya kaam milega.",81,"Sehat achi, par aaram zaroori."
LIBRA,Tula,Scales,♎,Venus,Justice,Diamond (Heera),Sep 23 – Oct 22,MONTHLY,"Tula ji, is mahine Guru aur Shukra ka prabhav aapke bhagya par. Pehla hafta labhdayak. Pyaar mein gehraai. Dhan aayega par kharch bhi. Santulit rahein.",30,White,07:30 AM – 09:00 AM,😌 Peaceful,88,"Mahine ke madhya mein rishton mein mithaas. Vivah ke yog.",83,"Vyapar mein vriddhi, par udhar se bachein.",85,"Promotion ke yog. Karyakshetra mein samman.",84,"Sehat samanya. Mausam se bachein."
LIBRA,Tula,Scales,♎,Venus,Justice,Diamond (Heera),Sep 23 – Oct 22,YEARLY,"Tula ji, is varsh Guru aapke bhav mein gochar karke bada labh dega. Shani ki drishti se mehnat. Pyaar aur vivah ke yog. Swasthya ke liye niyamit dincharya. Dhan sanchay.",16,Golden,06:45 AM – 08:15 AM,🤔 Thoughtful,87,"Varsh ke madhya mein vivah ke yog. Prem mein safalta.",84,"Saal ke ant mein bada arthik labh. Property ka yog.",87,"Naukri mein unnati, par transfer ho sakta hai.",85,"Swasthya ke liye saavdhani. Regular checkup."
SCORPIO,Vrishchik,Scorpion,♏,Pluto/Mars,Death,Red Coral (Moonga),Oct 23 – Nov 21,TODAY,"Vrishchik ji, aaj Mangal aapki rashi mein urja de raha hai. Chandra se mann gehra rahega. Pyaar mein din shubh. Kaam mein safalta milegi, jaldbazi nahi.",8,Red,06:15 AM – 07:45 AM,💪 Energetic,80,"Mangal ka ashirwad, partner ke saath mitha samay. Rishta majboot.",78,"Dhan aayega, par fizul kharch se bachein.",85,"Office mein tareef. Kaam samay par pura hoga.",81,"Sehat achi, par garmi se bachein."
SCORPIO,Vrishchik,Scorpion,♏,Pluto/Mars,Death,Red Coral (Moonga),Oct 23 – Nov 21,YESTERDAY,"Vrishchik ji, kal Shani ki drishti ne aapko thoda thakaya. Par Mangal ki kripa se aap phir se uth khade hue. Ghar mein shanti bani rahi. Aaj se seekh lein.",21,Maroon,08:30 AM – 10:00 AM,😌 Peaceful,72,"Partner se thodi doori. Baat karke suljhayein, ji.",68,"Kharcha zyada hua, par niyantran mein raha.",75,"Office mein thoda tanav tha, par kaam pura hua.",70,"Thakan ke karan aaram kiya. Neend poori lein."
SCORPIO,Vrishchik,Scorpion,♏,Pluto/Mars,Death,Red Coral (Moonga),Oct 23 – Nov 21,TOMORROW,"Vrishchik ji, kal Surya aapke bhav mein prakash layega. Atmavishwas badhega aur naye kaam shuru honge. Guru ka ashirwad paise ke maamle mein. Pariwar ke saath shubh samay.",3,Golden,05:45 AM – 07:15 AM,😁 Happy,82,"Venus pyaar mein mithaas layega. Kisi purane mitra se mulakat.",81,"Dhan labh ke yog. Vyapar mein fayda.",86,"Naukri mein tareef. Mehnat rang layegi.",80,"Sehat mein sudhar. Halka khana khayein."
SCORPIO,Vrishchik,Scorpion,♏,Pluto/Mars,Death,Red Coral (Moonga),Oct 23 – Nov 21,WEEKLY,"Vrishchik ji, is hafte Chandra aur Mangal ka yog aapko urja dega. Shuru ke din thoda sangharsh, par baad mein safalta. Pyaar mein samvad banaye rakhein. Paise ki sthiti majboot.",39,Red,06:00 AM – 07:30 AM,💪 Energetic,78,"Is hafte partner ke saath naya plan. Rishta gehna hoga.",79,"Saptah ke madhya mein arthik labh. Nivesh soch samajh.",84,"Career mein naya project. Tim par pura karein.",77,"Sehat ke liye yoga aur dhyan labhdayak."
SCORPIO,Vrishchik,Scorpion,♏,Pluto/Mars,Death,Red Coral (Moonga),Oct 23 – Nov 21,MONTHLY,"Vrishchik ji, is mahine Guru aur Shani ka prabhav aapke bhagya par. Pehla hafta vyast, doosra labhdayak. Pyaar mein gehraai. Dhan aayega par kharch bhi. Santulit rahein.",32,Maroon,07:00 AM – 08:30 AM,😊 Content,82,"Mahine ke madhya mein rishton mein mithaas. Partner ka saath.",78,"Vyapar mein vriddhi, par udhar se bachein.",86,"Promotion ke yog. Karyakshetra mein samman.",79,"Sehat samanya. Mausam se bachein."
SCORPIO,Vrishchik,Scorpion,♏,Pluto/Mars,Death,Red Coral (Moonga),Oct 23 – Nov 21,YEARLY,"Vrishchik ji, is varsh Guru aapke bhav mein gochar karke bada labh dega. Shani ki drishti se mehnat. Pyaar aur vivah ke yog. Swasthya ke liye niyamit dincharya. Dhan sanchay.",18,Golden,06:30 AM – 08:00 AM,🤔 Thoughtful,84,"Varsh ke madhya mein vivah ke yog. Prem mein safalta.",82,"Saal ke ant mein bada arthik labh. Property ka yog.",87,"Naukri mein unnati, par transfer ho sakta hai.",83,"Swasthya ke liye saavdhani. Regular checkup."
